Active_Growth_Period,Bloom_Period,Coppice_Potential,Duration,Fertility_Requirement,Foliage_Porosity_Summer,Genus,Growth_Form,Growth_Habit,Growth_Rate,Height_Mature_feet,Known_Allelopath,Species,State_and_Province,Vegetative_Spread_Rate,pH_Maximum,pH_Minimum
Spring and Summer,Late Spring,No,Perennial,Medium,Moderate,Carex,Rhizomatous,Graminoid,Moderate,5.0,No,atherodes,"USA (AK, AZ, CA, CO, IA, ID, IL, IN, KS, ME, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OR, PA, SD, UT, VA, WA, WI, WV, WY), CAN (AB, BC, MB, NT, ON, QC, SK, YT)",Slow,7.2,4.5
Spring and Summer,Late Spring,No,Perennial,Low,Moderate,Carex,Bunch,Graminoid,Slow,2.0,No,athrostachya,"USA (AK, AZ, CA, CO, ID, MT, ND, NM, NV, OR, SD, TX, UT, WA, WY), CAN (AB, BC, MB, SK, YT)",None,7.2,5.8
Spring and Summer,Late Spring,No,Perennial,Medium,Dense,Carex,Bunch,Graminoid,Moderate,1.8,No,atlantica,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV), CAN (NS, ON, QC)",Moderate,6.0,4.5
,,,Perennial,,,Carex,,Graminoid,,,,atratiformis,"USA (AK, ME, MI, NH, NY, VT), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), DEN (GL)",,,
,,,Perennial,,,Carex,,Graminoid,,,,atrosquama,"USA (AK, CO, ID, MT, OR, UT, WA), CAN (AB, BC, NT, YT)",,,
Spring and Summer,Late Spring,No,Perennial,Low,Moderate,Carex,Rhizomatous,Graminoid,Slow,1.2,No,aurea,"USA (AK, AZ, CA, CO, CT, ID, IL, IN, KS, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TX, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT)",None,7.2,5.5
,,,Perennial,,,Carex,,Graminoid,,,,aureolensis,"USA (AL, AR, FL, GA, IL, IN, KS, KY, LA, MO, MS, NC, NE, NM, OK, SC, TN, TX, VA)",,,
,,,Perennial,,,Carex,,Graminoid,,,,austrina,"USA (AL, AR, FL, IA, IL, IN, KS, LA, MD, MO, MS, NC, NE, OH, OK, TN, TX, VA)",,,
,,,Perennial,,,Carex,,Graminoid,,,,austrocaroliniana,"USA (AL, GA, KY, NC, SC, TN)",,,
,,,Perennial,,,Calochortus,,Forb/herb,,,,aureus,"USA (AZ, CO, NM, UT)",,,
,,,Perennial,,,Calopogon,,Forb/herb,,,,barbatus,"USA (AL, FL, GA, LA, MS, NC, SC)",,,
,,,Perennial,,,Carex,,Graminoid,,,,basiantha,"USA (AL, AR, FL, GA, LA, MS, NC, OK, SC, TN, TX)",,,
,,,Perennial,,,Carex,,Graminoid,,,,backii,"USA (CO, CT, IA, ID, MA, ME, MI, MN, MT, ND, NH, NJ, NY, OR, PA, SD, UT, VT, WA, WI, WY), CAN (AB, BC, MB, NB, ON, QC, SK)",,,
,,,Perennial,,,Carex,,Graminoid,,,,barbarae,"USA (CA, OR)",,,
Spring and Summer,Late Spring,No,Perennial,Medium,Moderate,Carex,Bunch,Graminoid,Moderate,2.1,No,baileyi,"USA (AR, CT, IL, KY, MA, MD, ME, NC, NH, NY, PA, TN, VA, VT, WV), CAN (QC)",None,7.0,4.8
,,,Perennial,,,Carex,,Graminoid,,,,baltzellii,"USA (AL, FL, GA, MS)",,,
,,,Perennial,,,Carex,,Graminoid,,,,barrattii,"USA (AL, CT, DE, GA, MD, NC, NJ, NY, PA, SC, TN, VA)",,,
Spring and Summer,Late Spring,No,Perennial,Medium,Moderate,Carex,Bunch,Graminoid,Moderate,3.0,No,bebbii,"USA (AK, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)",None,7.0,4.6
Spring and Summer,Late Spring,No,Perennial,Low,Moderate,Carex,Bunch,Graminoid,Slow,2.0,No,bella,"USA (AZ, CO, NM, NV, SD, UT)",None,7.5,6.0
,,,Perennial,,,Catopsis,,Forb/herb,,,,berteroniana,"USA (FL), USA+ (PR, VI)",,,
Spring and Summer,Late Spring,No,Perennial,Low,Moderate,Carex,Bunch,Graminoid,Moderate,3.4,No,bicknellii,"USA (AR, CT, DE, IA, IL, IN, KS, MA, ME, MI, MN, MO, ND, NE, NH, NJ, NY, OH, PA, RI, SC, SD, TX, VT, WI), CAN (MB, ON)",None,6.6,4.5
Summer and Fall,Mid Summer,No,Perennial,Low,Moderate,Carex,Stoloniferous,Graminoid,Moderate,0.4,No,bigelowii,"USA (AK, CO, ID, ME, MT, NH, NY, VT, WY), CAN (LB, MB, NB, NF, NT, NU, ON, QC, SK), DEN (GL)",Moderate,6.4,4.8
,,,Perennial,,,Catalpa,,Tree,,,,bignonioides,"USA (AL, AR, AZ, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WV), CAN (ON)",,,
,,,Perennial,,,Carex,,Graminoid,,,,biltmoreana,"USA (GA, NC, SC)",,,
Spring and Summer,Spring,No,Perennial,Medium,Moderate,Carex,Bunch,Graminoid,Slow,2.0,No,blanda,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY), CAN (MB, ON, QC)",None,7.0,4.4
,,,Perennial,,,Carex,,Graminoid,,,,bolanderi,"USA (AZ, CA, ID, MT, NM, NV, OR, UT, WA, WY), CAN (BC)",,,
,,,Perennial,,,Caesalpinia,,"Shrub, Vine",,,,bonduc,"USA (FL, HI, LA, TX), USA+ (PR, VI)",,,
,,,Perennial,,,Carex,,Graminoid,,,,brevior,"USA (AR, AZ, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SD, TN, TX, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, ON, QC, SK)",,,
,,,Perennial,,,Carex,,Graminoid,,,,breweri,"USA (CA, ID, OR, WA)",,,
,,,Perennial,,,Carex,,Graminoid,,,,bromoides,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (NB, NS, ON, QC)",,,
,,,Perennial,,,Carex,,Graminoid,,,,brunnescens,"USA (AK, CO, CT, GA, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",,,
,,,Perennial,,,Calochortus,,Forb/herb,,,,bruneaunis,"USA (CA, ID, MT, NV, OR, UT)",,,
,,,Perennial,,,Carex,,Graminoid,,,,brysonii,USA (AL),,,
,,,Perennial,,,Calycanthus,,Shrub,,,,brockianus,USA (GA),,,
,,,Perennial,,,Carex,,Graminoid,,,,brainerdii,"USA (CA, OR)",,,
,,,Perennial,,,Carex,,Graminoid,,,,brevicaulis,"USA (CA, OR, WA), CAN (BC)",,,
Spring,Mid Spring,No,Perennial,Medium,Porous,Cardamine,Single Crown,Forb/herb,Rapid,1.4,No,bulbosa,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (MB, ON, QC)",None,6.8,5.0
,,,Perennial,,,Carex,,Graminoid,,,,bulbostylis,"USA (AR, LA, MS, OK, TN, TX)",,,
Spring and Summer,Mid Spring,No,Perennial,Medium,Moderate,Carex,Bunch,Graminoid,Slow,2.0,No,bushii,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV)",None,7.5,5.8
,,,Perennial,,,Carex,,Graminoid,,,,buxbaumii,"USA (AK, AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OR, PA, RI, SC, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), DEN (GL), FRA (SPM)",,,
,,,Perennial,,,Carex,,Graminoid,,,,bullata,"USA (AR, CT, DC, DE, GA, MA, MD, ME, MS, NC, NH, NJ, NY, PA, RI, SC, TN, VA), CAN (NS)",,,
,,,Perennial,,,Callirhoe,,Forb/herb,,,,bushii,"USA (AR, IA, KS, MO, OK)",,,
Spring and Summer,Late Spring,No,Perennial,Low,Porous,Carex,Rhizomatous,Graminoid,Slow,2.0,No,canescens,"USA (AK, AZ, CA, CO, CT, DE, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Slow,7.2,5.1
Spring and Summer,Late Spring,No,Perennial,Low,Porous,Carex,Bunch,Graminoid,Moderate,1.7,No,capillaris,"USA (AK, CO, ID, ME, MI, MN, MT, ND, NH, NM, NV, NY, OR, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), DEN (GL), FRA (SPM)",None,7.4,5.8
,,,Perennial,,,Carex,,Graminoid,,,,capitata,"USA (AK, CA, CO, ID, MT, NH, NV, OR, UT, WA, WY), CAN (AB, BC, LB, MB, NF, NT, NU, ON, QC, SK, YT), DEN (GL)",,,
,,,Perennial,,,Carex,,Graminoid,,,,careyana,"USA (AL, AR, DC, GA, IA, IL, IN, KY, MD, MI, MN, MO, NC, NY, OH, PA, TN, VA, WI, WV), CAN (ON)",,,
,,,Perennial,,,Carex,,Graminoid,,,,caroliniana,"USA (AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",,,
,,,Perennial,,,Carex,,Graminoid,,,,castanea,"USA (CT, MA, ME, MI, MN, NH, NY, VT, WI), CAN (LB, MB, NB, NF, NS, ON, QC)",,,
,,,Perennial,,,Carpenteria,,Shrub,,,,californica,USA (CA),,,
Spring and Summer,Mid Spring,No,Perennial,Medium,Dense,Carpinus,Multiple Stem,"Tree, Shrub",Slow,30,No,caroliniana,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)",None,7.4,4.0
,,,Perennial,,,Carex,,Graminoid,,,,calcifugens,"USA (FL, GA, NC, SC)",,,
,,,Perennial,,,Calochortus,,Forb/herb,,,,catalinae,USA (CA),,,
,,,Perennial,,,Campanula,,Forb/herb,,,,californica,USA (CA),,,
,,,Perennial,,,Carex,,Graminoid,,,,californica,"USA (CA, ID, OR, WA)",,,
Spring and Summer,Late Spring,No,Perennial,Low,Porous,Carex,Bunch,Graminoid,Moderate,2.6,No,cephalophora,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (ON, QC)",None,7.0,4.8
,,,Perennial,,,Carex,,Graminoid,,,,cephaloidea,"USA (CT, IA, IL, IN, KY, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WI), CAN (NB, ON, QC)",,,
,,,Perennial,,,Carex,,Graminoid,,,,cherokeensis,"USA (AL, AR, FL, GA, KY, LA, MO, MS, NC, OH, OK, SC, TN, TX, VA)",,,
,,,Perennial,,,Carex,,Graminoid,,,,chihuahuensis,USA (AZ),,,
,,,Perennial,,,Carex,,Graminoid,,,,chordorrhiza,"USA (AK, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NH, NY, OR, PA, VT, WA, WI), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",,,
,,,Perennial,,,Carex,,Graminoid,,,,chapmanii,"USA (FL, GA, NC, SC, TN, VA)",,,
,,,Annual,,,Calandrinia,,Forb/herb,,,,ciliata,"USA (AZ, CA, ID, MA, MS, NM, NV, OR, WA), CAN (BC)",,,
,,,Perennial,,,Carex,,Graminoid,,,,circinata,"USA (AK, WA), CAN (BC)",,,
,,,Perennial,,,Calochortus,,Forb/herb,,,,clavatus,USA (CA),,,
,,,Perennial,,,Calliandra,,"Subshrub, Shrub",,,,conferta,USA (TX),,,
,,,Perennial,,,Carex,,Graminoid,,,,concinna,"USA (AK, CO, MI, MT, OR, SD, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NT, NU, ON, QC, SK, YT)",,,
,,,Perennial,,,Carex,,Graminoid,,,,concinnoides,"USA (CA, ID, MT, OR, WA), CAN (AB, BC)",,,
,,,Perennial,,,Carex,,Graminoid,,,,congdonii,USA (CA),,,
,,,Perennial,,,Carex,,Graminoid,,,,conjuncta,"USA (AL, AR, DC, DE, IA, IL, IN, KS, KY, MD, MI, MN, MO, NE, NJ, NY, OH, PA, SD, TN, VA, WI, WV)",,,
,,,Perennial,,,Carex,,Graminoid,,,,conoidea,"USA (AZ, CT, DE, IA, IL, IN, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NM, NY, OH, PA, RI, VA, VT, WI, WV), CAN (LB, MB, NB, NF, NS, ON, QC), FRA (SPM)",,,
Spring and Summer,Mid Spring,No,Perennial,Medium,Dense,Carya,Single Stem,Tree,Slow,75,No,cordiformis,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)",None,7.4,4.8
,,,Perennial,,,Carex,,Graminoid,,,,collinsii,"USA (AL, CT, DE, GA, MD, NC, NJ, NY, PA, RI, SC, TN, VA)",,,
,,,Perennial,,,Carex,,Graminoid,,,,corrugata,"USA (AL, AR, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)",,,
,,,Perennial,,,Cardamine,,Forb/herb,,,,concatenata,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV), CAN (NB, ON, QC)",,,
,,,Perennial,,,Calochortus,,Forb/herb,,,,coeruleus,USA (CA),,,
,,,Annual,,,Camissonia,,Forb/herb,,,,contorta,"USA (CA, ID, NV, OR, WA), CAN (BC)",,,
,,,Perennial,,,Carphephorus,,Forb/herb,,,,corymbosus,"USA (FL, GA, SC)",,,
,,,Perennial,,,Calochortus,,Forb/herb,,,,concolor,USA (CA),,,
,,,Perennial,,,Calochortus,,Forb/herb,,,,coxii,USA (OR),,,
,,,Perennial,,,Carex,,Graminoid,,,,communis,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV), CAN (LB, NB, NF, NS, ON, QC)",,,
,,,Perennial,,,Calamagrostis,,Graminoid,,,,coarctata,"USA (AL, CT, DC, DE, GA, KY, LA, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, WV), CAN (NS)",,,
,,,Perennial,,,Calydorea,,Forb/herb,,,,coelestina,"USA (FL, GA)",,,
"Spring, Summer, Fall",Mid Summer,No,Perennial,Medium,Moderate,Carex,Rhizomatous,Graminoid,Slow,5.0,No,comosa,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV), CAN (BC, NB, NS, ON, QC)",Moderate,7.5,4.6
,,,Perennial,,,Carex,,Graminoid,,,,constanceana,USA (WA),,,
,,,Perennial,,,Carex,,Graminoid,,,,complanata,"USA (AL, AR, DC, DE, FL, GA, KY, LA, MD, ME, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV)",,,
,,,Perennial,,,Carex,,Graminoid,,,,crawei,"USA (AL, AR, CO, CT, GA, IA, ID, IL, IN, KS, KY, ME, MI, MN, MO, MT, ND, NE, NJ, NY, OH, OK, SD, TN, UT, VA, WA, WI, WY), CAN (AB, BC, MB, NB, NF, ON, QC, SK)",,,
,,,Perennial,,,Carex,,Graminoid,,,,crawfordii,"USA (AK, CT, IA, ID, IL, MA, ME, MI, MN, MO, MT, NH, NJ, NY, OR, PA, VT, WA, WI), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)",,,
,,,Perennial,,,Carex,,Graminoid,,,,crebriflora,"USA (AL, AR, FL, GA, KY, LA, MS, NC, OK, SC, TN, TX, VA)",,,
,,,Perennial,,,Carex,,Graminoid,,,,crinita,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (MB, NB, NS, ON, PE, QC)",,,
Spring and Summer,Late Spring,No,Perennial,Medium,Porous,Carex,Bunch,Graminoid,Moderate,3.0,No,cristatella,"USA (CT, DC, DE, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SD, TN, VA, VT, WI, WV), CAN (MB, ON, QC, SK)",None,6.8,4.9
,,,Perennial,,,Carex,,Graminoid,,,,cryptolepis,"USA (CT, IL, IN, MA, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WI), CAN (LB, MB, NB, NF, NS, ON, QC, SK)",,,
,,,Perennial,,,Camassia,,Forb/herb,,,,cusickii,"USA (ID, OR)",,,
,,,Perennial,,,Carex,,Graminoid,,,,cumberlandensis,"USA (AL, AR, GA, IN, KY, MS, NC, OH, PA, SC, TN, VA, WV)",,,
,,,Perennial,,,Carex,,Graminoid,,,,cumulata,"USA (CT, IL, IN, MA, ME, MI, NH, NJ, NY, PA, RI, VT, WI), CAN (LB, MB, NB, NF, NS, ON, PE, QC)",,,
,,,Perennial,,,Carex,,Graminoid,,,,curatorum,"USA (AZ, UT)",,,
,,,Perennial,,,Carex,,Graminoid,,,,cusickii,"USA (CA, ID, MT, OR, UT, WA, WY), CAN (BC)",,,
,,,Perennial,,,Carex,,Graminoid,,,,davisii,"USA (AR, CT, DE, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, ND, NE, NJ, NY, OH, OK, PA, TN, TX, VT, WI, WV), CAN (ON)",,,
,,,Perennial,,,Carex,,Graminoid,,,,davyi,USA (CA),,,
,,,Perennial,,,Carex,,Graminoid,,,,dasycarpa,"USA (AL, FL, GA, MS, SC)",,,
Spring,Early Summer,Yes,Perennial,Medium,Dense,Castanea,Single Stem,Tree,Rapid,115,No,dentata,"USA (AL, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), CAN (ON)",None,6.5,5.5
,,,Perennial,,,Carex,,Graminoid,,,,deamii,"USA (IL, IN, KY, MO)",,,
,,,Perennial,,,Calocedrus,,Tree,,,,decurrens,"USA (CA, NV, OR)",,,
Spring and Summer,Late Spring,No,Perennial,Low,Moderate,Carex,Bunch,Graminoid,Moderate,3.0,No,debilis,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (NB, NF, NS, ON, PE, QC), FRA (SPM)",None,6.6,4.6
Spring and Summer,Late Spring,No,Perennial,Medium,Dense,Carex,Bunch,Graminoid,Rapid,4.5,No,decomposita,"USA (AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MI, MO, MS, NC, NY, OH, OK, SC, TN, TX, VA)",None,6.6,4.5
,,,Perennial,,,Carex,,Graminoid,,,,deflexa,"USA (AK, ID, MA, ME, MI, MN, NC, ND, NH, NY, SC, VT, WA, WI, WV), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",,,
,,,Perennial,,,Carex,,Graminoid,,,,densa,"USA (CA, OR, WA)",,,
Spring and Summer,Late Spring,No,Perennial,High,Moderate,Carex,Bunch,Graminoid,Moderate,3.8,No,deweyana,"USA (AK, CO, CT, IA, ID, IL, MA, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT)",None,7.0,5.4
,,,Perennial,,,Cardamine,,Forb/herb,,,,diphylla,"USA (AL, AR, CT, DE, GA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, SC, TN, VA, VT, WI, WV), CAN (NB, NS, ON, PE, QC)",,,
,,,Perennial,,,Callirhoe,,Forb/herb,,,,digitata,"USA (AR, IL, IN, KS, LA, MO, OK)",,,
,,,Perennial,,,Campanula,,Forb/herb,,,,divaricata,"USA (AL, CT, GA, KY, MD, NC, NH, SC, TN, VA, WV)",,,
Spring and Summer,Late Spring,No,Perennial,Low,Moderate,Carex,Bunch,Graminoid,Slow,3.0,No,diandra,"USA (AK, CA, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)",None,7.2,5.0
,,,Perennial,,,Carex,,Graminoid,,,,digitalis,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (NS, ON, QC)",,,
Spring and Summer,Late Spring,No,Perennial,Medium,Porous,Carex,Stoloniferous,Graminoid,Moderate,2.0,No,disperma,"USA (AK, AZ, CA, CO, CT, ID, IL, IN, MA, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Slow,6.5,4.5
,,,Perennial,,,Cardamine,,Forb/herb,,,,douglassii,"USA (AL, AR, CT, DC, IA, IL, IN, KY, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, TN, VA, WI, WV), CAN (ON)",,,
Spring and Summer,Late Spring,No,Perennial,Low,Porous,Carex,Rhizomatous,Graminoid,Slow,1.5,No,douglasii,"USA (AZ, CA, CO, IA, ID, MO, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, MB, SK)",Moderate,8.5,6.0
,,,Perennial,,,Calochortus,,Forb/herb,,,,dunnii,USA (CA),,,
,,,Perennial,,,Carex,,Graminoid,,,,duriuscula,"USA (AK, AZ, CA, CO, IA, ID, IL, KS, MN, MO, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, MB, NT, SK, YT)",,,
,,,Perennial,,,Carex,,Graminoid,,,,ebenea,"USA (AZ, CO, ID, MT, NM, NV, UT, WY)",,,
,,,Perennial,,,Carex,,Graminoid,,,,eburnea,"USA (AK, AL, AR, CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NY, OH, PA, SC, SD, TN, TX, VA, VT, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT)",,,
Spring and Summer,Late Spring,No,Perennial,Medium,Moderate,Carex,Bunch,Graminoid,Slow,1.5,No,echinata,"USA (AK, CA, CO, CT, DC, HI, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)",None,7.2,5.6
,,,Perennial,,,Carex,,Graminoid,,,,edwardsiana,USA (TX),,,
,,,Perennial,,,Carex,,Graminoid,,,,egglestonii,"USA (CO, NV, UT, WY)",,,
,,,Perennial,,,Calochortus,,Forb/herb,,,,elegans,"USA (CA, ID, MT, OR, WA)",,,
,,,Perennial,,,Carex,,Graminoid,,,,elynoides,"USA (AZ, CO, ID, MT, NM, NV, UT, WY)",,,
,,,Perennial,,,Carex,,Graminoid,,,,eleusinoides,"USA (AK, MT), CAN (BC, NT, YT)",,,
,,,Perennial,,,Carex,,Graminoid,,,,elliottii,"USA (AL, FL, GA, NC, SC)",,,
,,,Perennial,,,Carex,,Graminoid,,,,emoryi,"USA (AR, CO, CT, DC, DE, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, ND, NE, NJ, NM, NY, OH, OK, PA, SD, TX, VA, WI, WV, WY), CAN (MB, ON)",,,
,,,Perennial,,,Carex,,Graminoid,,,,engelmannii,"USA (CA, CO, ID, MT, NV, OR, UT, WA, WY), CAN (BC)",,,
Spring and Summer,Early Spring,No,Perennial,Low,Porous,Calliandra,Multiple Stem,"Subshrub, Shrub",Moderate,3.0,No,eriophylla,"USA (AZ, CA, NM, TX)",None,8.5,7.0
,,,Perennial,,,Calochortus,,Forb/herb,,,,eurycarpus,"USA (ID, MT, NV, OR, UT, WA, WY)",,,
,,,Perennial,,,Calochortus,,Forb/herb,,,,excavatus,USA (CA),,,
,,,Annual,,,Campanula,,Forb/herb,,,,exigua,USA (CA),,,
,,,Perennial,,,Carex,,Graminoid,,,,exsiccata,"USA (AK, CA, CO, ID, MT, NV, OR, UT, WA), CAN (BC)",,,
,,,Perennial,,,Carex,,Graminoid,,,,exilis,"USA (AL, CT, DE, MA, MD, ME, MI, MN, MS, NC, NH, NJ, NY, PA, RI, VT, WI), CAN (LB, NB, NF, NS, ON, QC), FRA (SPM)",,,
,,,Perennial,,,Carex,,Graminoid,,,,festucacea,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV), CAN (ON)",,,
